Código do SIORG,Nome,Sigla,Tipo de Instituição,Pais,Estado,Cidade,Esfera,Poder,Natureza Jurídica,SISP,CNPJ
1800,"Engenharia, Construções e Ferrovias S.A",VALEC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Sim,42.150.664/0001-87
27,Gabinete de Segurança Institucional ,GSI,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,09.399.736/0001-59
2837,Casa Civil da Presidência da República,CC-PR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,00.394.411/0001-09
68487,Secretaria de Políticas de Promoção da Igualdade Racial da Presidência da República,SEPPIR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,06.064.438/0001-10
121813,Secretaria da Micro e Pequena Empresa,SMPE,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,18.299.670/0001-16
91624,Secretaria de Comunicação Social da Presidência da República,SECOM-PR,Pública,Brasil,PR,Curitiba,Federal,Executivo,Administração Direta,Não,09.234.494/0001-43
73212,Secretaria de Assuntos Estratégicos da Presidência da República,SAE/PR,Pública,Brasil,PR,Curitiba,Federal,Executivo,Administração Direta,Não,10.246.869/0001-74
76917,Secretaria de Relações Institucionais da Presidência da República,SEPPIR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,10.433.248/0001-08
68487,Secretaria de Políticas para as Mulheres da Presidência da República,SPM,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,05.510.958/0001-46
1408,Vice-Presidência da República,VPR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,00.894.355/0001-71
72582,Secretaria Nacional de Articulação,SNAS-SGPR,Pública,Brasil,PR,Brasilia,Federal,Executivo,Administração Direta,Não,08.962.126/0001-59
81129,Conselho Nacional de Juventude,CNJ,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,07.421.906/0001-29
115549,Secretaria de Aeroportos,SA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,00.394.460/0133-91
473,Fundação Universidade Federal de Ouro Preto,UFOP,Pública,Brasil,MG,Ouro Preto,Federal,Executivo,Fundação,Não,23.070.659/0001-10
476,Fundação Universidade Federal do Rio Grande,FURG,Pública,Brasil,RG,Rio Grande,Federal,Executivo,Fundação,Não,94.877.586/0001-10
258,Hospital de Clínicas de Porto Alegre,HCPA,Pública,Brasil,RG,Porto Alegre,Federal,Executivo,Empresa Pública,Não,87.020.517/0001-20
100902,"Instituto Federal de Educação, Ciência e Tecnologia Sudeste de Minas Gerais",IFMGSE,Pública,Brasil,MG,João Monlevade,Federal,Executivo,Autarquia,Não,10.723.648/0001-40
456,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio-Grandense",IFSul,Pública,Brasil,RS,Osório,Federal,Executivo,Autarquia,Não,10.729.992/0001-46
100906,"Instituto Federal de Educação, Ciência e Tecnologia de Farroupilha",IFFAR,Pública,Brasil,RS,Santa Maria,Federal,Executivo,Autarquia,Não,10.662.072/0001-58
100908,"Instituto Federal de Educação, Ciência e Tecnologia de Tocantins",IFTO,Pública,Brasil,TO,Palmas,Federal,Executivo,Autarquia,Não,10.742.006/0001-98
47838,Centrais de Abastecimento de Minas Gerais S.A.,CEASA-MG,Pública,Brasil,MG,Governador Valadares,Federal,Executivo,Sociedade de Economia Mista,Não,17.504.325/0001-04
2114,Companhia Nacional de Abastecimento,CONAB,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Não,26.461.699/0001-80
47839,Companhia de Armazéns e Silos do Estado de Minas Gerais,CASEMG,Pública,Brasil,MG,Passos,Federal,Executivo,Sociedade de Economia Mista,Não,17.186.370/0065-22
29415,Companhia de Entrepostos e Armazéns Gerais de São Paulo,CEAGESP,Pública,Brasil,SP,Vila Leopoldina,Federal,Executivo,Sociedade de Economia Mista,Não,62.463.005/0001-08
25,Empresa Brasileira de Pesquisa Agropecuária,EMBRAPA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Não,00.348.003/0001-10
98519,Centro Nacional de Tecnologia Eletrônica Avançada S. A,CEITEC/S.A.,Pública,Brasil,RS,Lomba Pinheiro,Federal,Executivo,Empresa Pública,Não,05.114.927/0001-76
223,Comissão Nacional de Energia Nuclear,CNEN,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Não,00.402.552/0001-26
228,Indústrias Nucleares do Brasil S/A,INB,Pública,Brasil,DF,Brasilia,Federal,Executivo,Sociedade de Economia Mista,Não,00.322.818/0038-12
48739,Nuclebrás Equipamentos Pesados S/A,NUCLEP,Pública,Brasil,RJ,Castelo,Federal,Executivo,Sociedade de Economia Mista,Não,42.515.882/0003-30
1,Financiadora de Estudos e Projetos,FINEP,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Não,88.630.413/0002-81
1782,Fundação Cultural Palmares,FCP,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Não,32.901.688/0001-77
930,Caixa de Financiamento Imobiliário da Aeronáutica,CFIAE,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Não,30.496.004/0001-73
185,Comando da Marinha,CMAR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Não,00.394.502/0001-44
200949,Amazônia Azul Tecnologias de Defesa S.A.,AMAZUL,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Não,18.910.028/0001-21
208,Caixa de Construções de Casas para o Pessoal da Marinha,CCCPCM,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Não,03.332.937/0001-52
957,Fundação Habitacional do Exército,FHE,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação Pública,Não,00.643.742/0001-35
8406,Fundação Osório,FOSORIO,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação Pública,Não,34.143.842/0001-14
134,Indústria de Material Bélico do Brasil,IMBEL,Pública,Brasil,DF,Brasilia,Federal,Executivo,Empresa Pública,Não,00.444.232/0001-39
445,Centro Federal de Educação Tecnológica de Minas Gerais,CEFET-MG,Pública,Brasil,MG,Belo Horizonte,Federal,Executivo,Autarquia,Não,17.220.203/0001-96
117267,Empresa Brasileira de Serviços Hospitalares,EBSERH,Pública,Brasil,MG,Belo Horizonte,Federal,Executivo,Empresa Pública,Não,15.126.437/0001-43
